episode,hour,pv_power,wind_power,renewable_power,load,soc,soc_percent,action,charged,discharged,net_power,load_met,shortfall,resilience,reward
2001,0,0.0,0.9155311486006339,0.9155311486006339,1.3883730335960844,8.502271700004789,0.4723484277780438,discharge_full,0.0,0.47284188499545055,1.3883730335960844,True,0,0.7266898888892981,125.0
2001,1,0.21071534926807556,0.9843353956721546,1.1950507449402301,1.0970378086327368,8.502271700004789,0.4723484277780438,discharge_full,0.0,0.0,1.1950507449402301,True,0,0.7266898888892981,125.0
2001,2,0.41963953105741986,0.9525855857241977,1.3722251167816175,1.1315297440601424,8.502271700004789,0.4723484277780438,discharge_full,0.0,0.0,1.3722251167816175,True,0,0.7266898888892981,125.0
2001,3,0.6267725453680332,1.5232273117698223,2.1499998571378556,1.331315284229622,8.891146872136199,0.4939526040075666,charge_half,0.40934228645411674,0.0,1.7406575706837388,True,0,0.7599270830885639,125.0
2001,4,0.832114392199915,1.5851421450179088,2.417256537217824,1.2268426111523203,10.022040101898428,0.5567800056610238,charge_full,1.1904139260655038,0.0,1.2268426111523203,True,0,0.8565846240938828,125.0
2001,5,1.0356650715530658,1.7481346496976198,2.7837997212506855,1.0971195149900896,10.022040101898428,0.5567800056610238,discharge_half,0.0,0.0,2.7837997212506855,True,0,0.8565846240938828,125.0
2001,6,0.8835198333127727,1.8394482060057498,2.7229680393185225,1.289491094341529,10.702941650762499,0.5946078694868056,charge_half,0.7167384724884968,0.0,2.006229566830026,True,0,0.9147813376720085,123.67647216920832
2001,7,1.373659668822801,1.9682739325642278,3.341933601387029,2.2559668604560694,11.734610054646911,0.6519227808137172,charge_full,1.0859667409309597,0.0,2.2559668604560694,True,0,0.9970418756712043,127.11536684882303
2001,8,2.229164633308362,1.9471693102731102,4.176333943581472,2.8511239623066484,12.993559536857994,0.721864418714333,charge_full,1.3252099812748237,0.0,2.8511239623066484,True,0,0.889439355824103,131.31186512285998
2001,9,3.2017849310462663,2.1626618762245875,5.364446807270854,4.32128609429884,12.993559536857994,0.721864418714333,discharge_half,0.0,0.0,5.364446807270854,True,0,0.889439355824103,131.31186512285998
2001,10,4.064885239461346,2.080735213323149,6.145620452784495,3.2009843573027283,15.790963827565673,0.8772757681980929,charge_full,2.944636095481767,0.0,3.2009843573027283,True,0,0.650344972002934,125.0
2001,11,2.549413117244562,2.2051498484540977,4.75456296569866,3.703750253222426,15.790963827565673,0.8772757681980929,discharge_half,0.0,0.0,4.75456296569866,True,0,0.650344972002934,125.0
2001,12,4.1150952207993985,1.8959162664418046,6.011011487241203,4.99704079016886,15.790963827565673,0.8772757681980929,discharge_full,0.0,0.0,6.011011487241203,True,0,0.650344972002934,125.0
2001,13,3.368557152956616,2.521120350729968,5.889677503686584,4.573457222943681,15.790963827565673,0.8772757681980929,discharge_full,0.0,0.0,5.889677503686584,True,0,0.650344972002934,125.0
2001,14,3.6169129267376188,2.524642154843316,6.141555081580934,4.443791051493874,15.790963827565673,0.8772757681980929,discharge_full,0.0,0.0,6.141555081580934,True,0,0.650344972002934,125.0
2001,15,3.2124863247828723,2.3585440215263875,5.57103034630926,4.554735425376806,16.27370391500859,0.9040946619449216,charge_half,0.508147460466227,0.0,5.062882885843033,True,0,0.6090851354693514,300.0
2001,16,3.226072762580961,2.0089766847662442,5.235049447347205,4.0460690988641295,16.27370391500859,0.9040946619449216,discharge_full,0.0,0.0,5.235049447347205,True,0,0.6090851354693514,300.0
2001,17,0.7760886677242301,1.7958016338397509,2.571890301563981,4.276828083878389,14.47903256520395,0.8043906980668861,discharge_full,0.0,1.7049377823144076,4.276828083878389,True,0,0.7624758491278676,300.0
2001,18,2.480313744855913,1.864035959349442,4.344349704205355,3.7763571103323272,14.47903256520395,0.8043906980668861,discharge_full,0.0,0.0,4.344349704205355,True,0,0.7624758491278676,400.0
2001,19,1.3176268612832087,1.7350820682549912,3.0527089295382,2.8312313201000796,14.47903256520395,0.8043906980668861,discharge_full,0.0,0.0,3.0527089295382,True,0,0.7624758491278676,400.0
2001,20,0.9950982290807343,1.738857395017234,2.7339556240979683,2.502712901336876,14.47903256520395,0.8043906980668861,discharge_full,0.0,0.0,2.7339556240979683,True,0,0.7624758491278676,400.0
2001,21,0.6679842081327081,1.6004383273404736,2.2684225354731815,1.6273409501247451,14.47903256520395,0.8043906980668861,discharge_full,0.0,0.0,2.2684225354731815,True,0,0.7624758491278676,400.0
2001,22,0.33628479843912995,1.522413997433448,1.858698795872578,1.5934358861026672,14.47903256520395,0.8043906980668861,discharge_full,0.0,0.0,1.858698795872578,True,0,0.7624758491278676,400.0
2001,23,0.0,1.3357070181385458,1.3357070181385458,1.6627796782362692,14.134745554574767,0.7852636419208204,discharge_full,0.0,0.3270726600977234,1.6627796782362692,True,0,0.791902089352584,125.0
